Protein,E. coli strain,Vector,Measurement,Outcome
MJ1319,BL21 Star,pWarf(-),Harvesting OD,1.656
Mevan1511,BL21 Star,pTTQ18,Harvesting OD,1.085
Mevan1511,BL21 Star,pET52b(+),Harvesting OD,1.025
Mevan1511,BL21 Star,pWarf(-),Harvesting OD,1.035
MMP0681,BL21 Star,pTTQ18,Harvesting OD,1.17
MMP0681,BL21 Star,pET52b(+),Harvesting OD,0.975
MMP0681,BL21 Star,pWarf(-),Harvesting OD,0.675
Hbor39700,BL21 Star,pTTQ18,Harvesting OD,1.81
Hbor39700,BL21 Star,pET52b(+),Harvesting OD,1.415
Hbor39700,BL21 Star,pWarf(-),Harvesting OD,1.16
AF2014,BL21 Star,pTTQ18,Harvesting OD,2.09
AF2014,BL21 Star,pET52b(+),Harvesting OD,1.045
AF2014,BL21 Star,pWarf(-),Harvesting OD,0.63
Ta0252,BL21 Star,pTTQ18,Harvesting OD,n.c.
Ta0252,BL21 Star,pET52b(+),Harvesting OD,1.304
Ta0252,BL21 Star,pWarf(-),Harvesting OD,0.708
Msed1117,BL21 Star,pTTQ18,Harvesting OD,1.45
Msed1117,BL21 Star,pET52b(+),Harvesting OD,1
Msed1117,BL21 Star,pWarf(-),Harvesting OD,n.c.
pNG7043,BL21 Star,pTTQ18,Harvesting OD,1.444
pNG7043,BL21 Star,pET52b(+),Harvesting OD,n.c.
pNG7043,BL21 Star,pWarf(-),Harvesting OD,1.04
Saci1848,BL21 Star,pTTQ18,Harvesting OD,0.8
Saci1848,BL21 Star,pET52b(+),Harvesting OD,n.c.
Saci1848,BL21 Star,pWarf(-),Harvesting OD,n.c.
SSO2938,BL21 Star,pTTQ18,dOD600,1.017964072
SSO2938,BL21 Star,pET52b(+),dOD600,1.726027397
SSO2938,BL21 Star,pWarf(-),dOD600,1.100558659
SSO2528,BL21 Star,pTTQ18,dOD600,1.247863248
SSO2528,BL21 Star,pET52b(+),dOD600,1.263888889
SSO2528,BL21 Star,pWarf(-),dOD600,0.841121495
SSO2042,BL21 Star,pTTQ18,dOD600,2.051724138
SSO2042,BL21 Star,pET52b(+),dOD600,1.024793388
SSO2042,BL21 Star,pWarf(-),dOD600,0.9296875
SSO1665,BL21 Star,pTTQ18,dOD600,2.811111111
SSO1665,BL21 Star,pET52b(+),dOD600,3.067039106
SSO1665,BL21 Star,pWarf(-),dOD600,3.452830189
Saci2039,BL21 Star,pTTQ18,dOD600,1.094117647
Saci2039,BL21 Star,pET52b(+),dOD600,1.471264368
Saci2039,BL21 Star,pWarf(-),dOD600,1.011627907
MA1518,BL21 Star,pTTQ18,dOD600,2.35971223
MA1518,BL21 Star,pET52b(+),dOD600,2.404761905
MA1518,BL21 Star,pWarf(-),dOD600,2.021276596
MJ1319,BL21 Star,pTTQ18,dOD600,1.25170068
MJ1319,BL21 Star,pET52b(+),dOD600,1.178571429
MJ1319,BL21 Star,pWarf(-),dOD600,2.059701493
Mevan1511,BL21 Star,pTTQ18,dOD600,2.284210526
Mevan1511,BL21 Star,pET52b(+),dOD600,1.653225807
Mevan1511,BL21 Star,pWarf(-),dOD600,1.656
MMP0681,BL21 Star,pTTQ18,dOD600,1.625
MMP0681,BL21 Star,pET52b(+),dOD600,1.822429907
MMP0681,BL21 Star,pWarf(-),dOD600,1.40625
Hbor39700,BL21 Star,pTTQ18,dOD600,4.113636364
Hbor39700,BL21 Star,pET52b(+),dOD600,2.669811321
Hbor39700,BL21 Star,pWarf(-),dOD600,2.32
AF2014,BL21 Star,pTTQ18,dOD600,3.291338583
AF2014,BL21 Star,pET52b(+),dOD600,1.727272727
AF2014,BL21 Star,pWarf(-),dOD600,1.06779661
Ta0252,BL21 Star,pTTQ18,dOD600,n.c.
Ta0252,BL21 Star,pET52b(+),dOD600,1.791208791
Ta0252,BL21 Star,pWarf(-),dOD600,1.149350649
Msed1117,BL21 Star,pTTQ18,dOD600,2.071428571
Msed1117,BL21 Star,pET52b(+),dOD600,1.666666667
Msed1117,BL21 Star,pWarf(-),dOD600,n.c.
pNG7043,BL21 Star,pTTQ18,dOD600,2.734848485
pNG7043,BL21 Star,pET52b(+),dOD600,n.c.
pNG7043,BL21 Star,pWarf(-),dOD600,1.721854305
Saci1848,BL21 Star,pTTQ18,dOD600,1
Saci1848,BL21 Star,pET52b(+),dOD600,n.c.
Saci1848,BL21 Star,pWarf(-),dOD600,n.c.
